epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,2646.27,0.47588,0.97404,0.88475,1.00401,0,0.79014,0.7588,0.93112,0.67421,0.79014,0.7588,0.93112,0.72155,0.77667,1.33439,1.85984,1.46134,0,0.000693305,0.000693305,0.000693305
61,2682.9,0.56086,1.30369,0.95656,1.08846,0,0.70675,0.93845,0.94883,0.72983,0.70675,0.93845,0.94883,0.74559,0.76264,1.45595,1.69456,1.47629,0,0.000676802,0.000676802,0.000676802
62,2720.63,0.48989,0.98561,0.80374,1.04681,0,0.60374,1,0.91006,0.64883,0.60374,1,0.91006,0.6614,0.78305,1.62978,1.52379,1.50281,0,0.000660299,0.000660299,0.000660299
63,2759.04,0.52368,0.90299,0.80112,1.06785,0,0.60374,1,0.91006,0.64883,0.60374,1,0.91006,0.6614,0.78305,1.62978,1.52379,1.50281,0,0.000643795,0.000643795,0.000643795
64,2797.5,0.50725,1.03379,0.83706,1.01789,0,0.82027,0.98309,0.96833,0.68905,0.82027,0.98309,0.96833,0.69497,0.75315,1.78493,1.42343,1.46779,0,0.000627292,0.000627292,0.000627292
65,2834.74,0.52779,1.22071,0.83487,1.01675,0,0.81211,0.97433,0.95476,0.71566,0.81211,0.97433,0.95476,0.66684,0.79278,1.92604,1.29439,1.53447,0,0.000610789,0.000610789,0.000610789
66,2871.56,0.47315,0.99164,0.76134,0.99523,0,0.77085,0.89737,0.93,0.71717,0.77085,0.89737,0.93,0.61115,0.77635,1.92211,1.37429,1.53306,0,0.000594286,0.000594286,0.000594286
67,2907.48,0.45875,0.90516,0.84981,1.00892,0,0.77085,0.89737,0.93,0.71717,0.77085,0.89737,0.93,0.61115,0.77635,1.92211,1.37429,1.53306,0,0.000577782,0.000577782,0.000577782
68,2943.45,0.43601,1.10007,0.72713,0.97913,0,0.91153,0.70966,0.91006,0.70328,0.91153,0.70966,0.91006,0.64435,0.7989,1.8339,1.43778,1.58176,0,0.000561279,0.000561279,0.000561279
69,2981.25,0.52893,1.06234,0.80942,1.05577,0,0.84762,0.90257,0.87466,0.60654,0.84762,0.90257,0.87466,0.58054,0.83299,1.69126,1.67131,1.59146,0,0.000544776,0.000544776,0.000544776
70,3017.77,0.49652,1.0935,0.8204,1.06486,0,0.64626,0.91667,0.80325,0.51613,0.64626,0.91667,0.80325,0.50073,0.82333,1.60899,1.91899,1.53795,0,0.000528272,0.000528272,0.000528272
71,3059.56,0.45834,0.92561,0.70071,0.98458,0,0.64626,0.91667,0.80325,0.51613,0.64626,0.91667,0.80325,0.50073,0.82333,1.60899,1.91899,1.53795,0,0.000511769,0.000511769,0.000511769
72,3096.29,0.4909,0.94761,0.74595,0.99506,0,0.85565,0.72914,0.82161,0.50885,0.85565,0.72914,0.82161,0.55737,0.84794,1.50725,2.09972,1.54529,0,0.000495266,0.000495266,0.000495266
73,3135.55,0.46145,0.9534,0.70045,0.99575,0,0.8273,0.72273,0.79456,0.53779,0.8273,0.72273,0.79456,0.58609,0.82435,1.34408,2.10212,1.49825,0,0.000478762,0.000478762,0.000478762
74,3184.29,0.43272,0.9675,0.71668,0.99522,0,0.81459,0.72425,0.81886,0.55483,0.81459,0.72425,0.79859,0.60207,0.83126,1.15324,1.82029,1.44881,0,0.000462259,0.000462259,0.000462259
75,3224.25,0.47446,0.94623,0.70502,1.00777,0,0.81459,0.72425,0.81886,0.55483,0.81459,0.72425,0.79859,0.60207,0.83126,1.15324,1.82029,1.44881,0,0.000445756,0.000445756,0.000445756
76,3260.67,0.43996,0.92294,0.69004,0.96524,0,0.75823,0.83333,0.82746,0.61177,0.75823,0.83333,0.82746,0.62836,0.84659,1.06384,1.69941,1.44184,0,0.000429253,0.000429253,0.000429253
77,3297.09,0.50224,0.89168,0.70794,1.07128,0,0.69609,0.83333,0.80018,0.61635,0.69609,0.83333,0.80018,0.63752,0.91561,1.05357,1.61502,1.50857,0,0.000412749,0.000412749,0.000412749
